datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-05 18:00:01;52.04;45.72;1.25;50.376;28.4;0.0479;0;normal
2026-01-05 18:00:02;52.51;42.91;1.16;50.363;30.62;0.047;0;normal
2026-01-05 18:00:03;52.96;46.01;1.249;50.422;31.73;0.0561;0;normal
2026-01-05 18:00:04;52.31;46.17;1.268;50.415;34.36;0.0668;0;normal
2026-01-05 18:00:05;52.33;49.94;1.408;50.437;33.01;0.0711;0;normal
2026-01-05 18:00:06;52.66;51.37;1.171;50.263;33.67;0.0797;0;normal
2026-01-05 18:00:07;52.3;49.47;1.166;50.299;36.9;0.0782;0;normal
2026-01-05 18:00:08;52.19;46.35;1.208;50.319;33.05;0.054;0;normal
2026-01-05 18:00:09;51.96;52.46;1.352;50.363;38.14;0.0712;0;normal
2026-01-05 18:00:10;52.09;49.66;1.13;50.35;38.67;0.0748;0;normal
2026-01-05 18:00:11;52.21;49.73;1.282;50.345;28.84;0.0619;0;normal
2026-01-05 18:00:12;52.05;47.98;1.203;50.34;31.13;0.0549;0;normal
2026-01-05 18:00:13;52.16;49.19;1.316;50.338;35.93;0.0706;0;normal
2026-01-05 18:00:14;51.83;50.44;1.423;50.325;37.17;0.0808;0;normal
2026-01-05 18:00:15;51.52;71.36;1.682;49.962;63.83;0.2149;0;normal
2026-01-05 18:00:16;52.73;77.79;1.855;49.596;81.58;0.287;0;normal
2026-01-05 18:00:17;52.35;89.33;2.005;49.481;86.27;0.3338;0;normal
2026-01-05 18:00:18;52.39;92.3;2.057;49.445;91.74;0.347;0;normal
2026-01-05 18:00:19;52;93.7;2.009;49.467;91.69;0.3643;0;normal
2026-01-05 18:00:20;52.36;96.42;2.081;49.257;94.75;0.3887;0;normal
2026-01-05 18:00:21;52.34;96.83;2.155;49.319;98.34;0.3978;0;normal
2026-01-05 18:00:22;52.35;102.28;2.325;49.213;103.33;0.4158;0;normal
2026-01-05 18:00:23;52.58;95.62;2.091;49.296;97.57;0.3831;0;normal
2026-01-05 18:00:24;53.51;102.34;2.069;49.257;102.82;0.4072;0;normal
2026-01-05 18:00:25;53.16;95.99;2.18;49.31;97.52;0.3978;0;normal
2026-01-05 18:00:26;53.03;97.52;2.173;49.227;101.97;0.4018;0;normal
2026-01-05 18:00:27;53.42;100.98;2.193;49.308;103.7;0.4069;0;normal
2026-01-05 18:00:28;53.24;97.09;2.334;49.238;105.08;0.4118;0;normal
2026-01-05 18:00:29;53.37;102.76;2.124;49.176;104.37;0.4198;0;normal
2026-01-05 18:00:30;53.75;101.69;2.151;49.244;100.13;0.4068;0;normal
2026-01-05 18:00:31;53.87;99.35;2.126;49.253;100.37;0.4167;0;normal
2026-01-05 18:00:32;54.19;103.73;2.265;49.197;105.23;0.4236;0;normal
2026-01-05 18:00:33;54.04;105.54;2.027;49.238;106.22;0.4453;0;normal
2026-01-05 18:00:34;54.24;102.94;2.154;49.145;106.32;0.4292;0;normal
2026-01-05 18:00:35;54.56;101.41;2.205;49.198;108.82;0.4397;0;normal
2026-01-05 18:00:36;53.96;86.65;1.966;49.536;85.62;0.3248;0;normal
2026-01-05 18:00:37;53.23;67.28;1.707;49.747;65.88;0.2126;0;normal
2026-01-05 18:00:38;54.6;60.2;1.661;49.968;53.62;0.1557;0;normal
2026-01-05 18:00:39;53.51;56.62;1.528;50.164;46.4;0.135;0;normal
2026-01-05 18:00:40;53.72;54.1;1.4;50.126;41.94;0.111;0;normal
2026-01-05 18:00:41;53.16;56.86;1.45;50.162;45.46;0.1082;0;normal
2026-01-05 18:00:42;53.52;53.62;1.42;50.247;43.01;0.1086;0;normal
2026-01-05 18:00:43;54.1;54.85;1.399;50.337;44.32;0.0967;0;normal
2026-01-05 18:00:44;54.3;47.8;1.241;50.327;37.47;0.0785;0;normal
2026-01-05 18:00:45;53.39;49.11;1.439;50.38;35.48;0.0751;0;normal
2026-01-05 18:00:46;53.08;50.48;1.472;50.298;37.48;0.0875;0;normal
2026-01-05 18:00:47;54.03;51.8;1.301;50.256;39.23;0.0934;0;normal
2026-01-05 18:00:48;53.08;55.15;1.52;50.254;37.32;0.0851;0;normal
2026-01-05 18:00:49;53.21;49.14;1.304;50.333;38.19;0.0768;0;normal
2026-01-05 18:00:50;53.74;53.31;1.456;50.371;35.71;0.0782;0;normal
2026-01-05 18:00:51;52.53;50.36;1.336;50.268;37.92;0.0794;0;normal
2026-01-05 18:00:52;53.81;47.12;1.201;50.499;30.72;0.0565;0;normal
2026-01-05 18:00:53;53.11;47.21;1.104;50.42;23.9;0.0456;0;normal
2026-01-05 18:00:54;53.46;45.36;1.375;50.399;33.15;0.0493;0;normal
2026-01-05 18:00:55;53.08;44.83;1.473;50.451;32.22;0.0535;0;normal
2026-01-05 18:00:56;53.29;47.68;1.171;50.536;28.73;0.0445;0;normal
2026-01-05 18:00:57;52.76;50.08;1.42;50.463;35.89;0.0696;0;normal
2026-01-05 18:00:58;53.12;48.28;1.308;50.3;32.78;0.0614;0;normal
2026-01-05 18:00:59;52.5;47.2;1.129;50.372;28.07;0.0565;0;normal
2026-01-05 18:01:00;52.68;49.81;1.46;50.344;37.39;0.0734;0;normal
2026-01-05 18:01:01;52.16;52.14;1.434;50.339;38.89;0.079;0;normal
2026-01-05 18:01:02;52.31;47.83;1.447;50.331;34.88;0.0779;0;normal
2026-01-05 18:01:03;52.62;48.41;1.366;50.45;29.99;0.0552;0;normal
2026-01-05 18:01:04;52.35;49.1;1.364;50.29;36.13;0.0723;0;normal
2026-01-05 18:01:05;52.23;52.06;1.229;50.309;40.05;0.0814;0;normal
2026-01-05 18:01:06;52.04;51.71;1.569;50.377;34.17;0.075;0;normal
2026-01-05 18:01:07;52.3;49.39;1.436;50.321;30.62;0.0714;0;normal
2026-01-05 18:01:08;52.7;70.66;1.736;49.841;57.39;0.1993;0;normal
2026-01-05 18:01:09;53.1;83.76;1.905;49.841;75.16;0.2934;0;normal
2026-01-05 18:01:10;52.62;88.22;1.957;49.564;83.86;0.3298;0;normal
2026-01-05 18:01:11;52.52;92.31;2.107;49.48;84.72;0.3608;0;normal
2026-01-05 18:01:12;52.12;99.38;2.12;49.344;94.34;0.3992;0;normal
2026-01-05 18:01:13;53.11;99.89;2.261;49.348;96.35;0.4106;0;normal
2026-01-05 18:01:14;52.58;102.44;2.243;49.295;100.07;0.4219;0;normal
2026-01-05 18:01:15;52.75;96.16;2.097;49.338;97.24;0.4041;0;normal
2026-01-05 18:01:16;52.33;101.4;2.319;49.251;102.53;0.4272;0;normal
2026-01-05 18:01:17;53.83;100.21;2.05;49.334;103.41;0.4078;0;normal
2026-01-05 18:01:18;53.04;104.1;2.32;49.188;99.44;0.415;0;normal
2026-01-05 18:01:19;52.79;101.41;2.201;49.291;101.26;0.4254;0;normal
2026-01-05 18:01:20;54.25;103.16;2.057;49.299;104.96;0.4328;0;normal
2026-01-05 18:01:21;53.53;103.48;2.246;49.175;101.48;0.4269;0;normal
2026-01-05 18:01:22;53.94;101.36;2.011;49.214;99.25;0.4171;0;normal
2026-01-05 18:01:23;54.01;104.43;2.197;49.206;104.75;0.435;0;normal
2026-01-05 18:01:24;54.45;105.11;2.174;49.078;104.83;0.4325;0;normal
