datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-07 18:00:01;51.25;45.62;1.345;50.385;31.64;0.0638;0;normal
2026-01-07 18:00:02;50.88;46.77;1.238;50.43;31.44;0.0533;0;normal
2026-01-07 18:00:03;50.93;47.92;1.153;50.437;29.42;0.0619;0;normal
2026-01-07 18:00:04;51.05;48.89;1.222;50.47;34.21;0.0578;0;normal
2026-01-07 18:00:05;50.96;51.23;1.254;50.338;35.59;0.0804;0;normal
2026-01-07 18:00:06;50.68;48.95;1.293;50.377;36.06;0.0712;0;normal
2026-01-07 18:00:07;50.69;47.63;1.326;50.408;33.99;0.0633;0;normal
2026-01-07 18:00:08;50.77;48.67;1.326;50.359;32.17;0.0753;0;normal
2026-01-07 18:00:09;51.07;48.97;1.345;50.38;34.04;0.0712;0;normal
2026-01-07 18:00:10;50.62;51.41;1.361;50.383;34;0.0754;0;normal
2026-01-07 18:00:11;50.78;49.82;1.364;50.281;33.15;0.0711;0;normal
2026-01-07 18:00:12;50.78;44.65;1.363;50.393;30.88;0.0486;0;normal
2026-01-07 18:00:13;50.08;43.49;1.105;50.391;31.24;0.0436;0;normal
2026-01-07 18:00:14;51.42;45.12;1.145;50.439;32.73;0.0588;0;normal
2026-01-07 18:00:15;51.19;48.1;1.331;50.356;29.98;0.0717;0;normal
2026-01-07 18:00:16;50.78;47.78;1.292;50.284;33.64;0.0698;0;normal
2026-01-07 18:00:17;50.81;47.6;1.271;50.474;29.81;0.0605;0;normal
2026-01-07 18:00:18;50.9;49.29;1.243;50.358;30.14;0.0772;0;normal
2026-01-07 18:00:19;51.15;48.52;1.252;50.494;31.15;0.0646;0;normal
2026-01-07 18:00:20;51.12;63.45;1.68;50.101;54.65;0.1896;0;normal
2026-01-07 18:00:21;51.53;81.44;1.961;49.603;78.92;0.2959;0;normal
2026-01-07 18:00:22;51.36;93.34;2.106;49.501;91.17;0.3618;0;normal
2026-01-07 18:00:23;51.14;97.84;2.064;49.405;92.2;0.4002;0;normal
2026-01-07 18:00:24;51.21;99.17;2.142;49.376;97.95;0.4105;0;normal
2026-01-07 18:00:25;51.23;100.13;2.194;49.238;103.17;0.428;0;normal
2026-01-07 18:00:26;51.51;102.38;2.153;49.195;99.54;0.4324;0;normal
2026-01-07 18:00:27;52.09;104.79;2.106;49.152;104.48;0.4455;0;normal
2026-01-07 18:00:28;51.91;105.03;2.179;49.245;107.1;0.4506;0;normal
2026-01-07 18:00:29;51.81;103.28;2.181;49.261;105.74;0.429;0;normal
2026-01-07 18:00:30;51.43;100.92;2.253;49.23;100.06;0.4247;0;normal
2026-01-07 18:00:31;52.05;105.03;2.09;49.249;99.53;0.4306;0;normal
2026-01-07 18:00:32;52.55;105.8;2.101;49.233;106.05;0.442;0;normal
2026-01-07 18:00:33;52.69;105.86;2.229;49.119;106.62;0.4408;0;normal
2026-01-07 18:00:34;52.03;105.99;2.154;49.268;100.77;0.4448;0;normal
2026-01-07 18:00:35;52.34;105.14;2.231;49.269;105.21;0.4255;0;normal
2026-01-07 18:00:36;52.65;100.12;2.001;49.29;102.13;0.4149;0;normal
2026-01-07 18:00:37;52.8;96.62;1.98;49.353;101.27;0.3924;0;normal
2026-01-07 18:00:38;53;97.51;2.03;49.27;98.64;0.4031;0;normal
2026-01-07 18:00:39;53.16;101.04;2.083;49.311;96.56;0.4089;0;normal
