datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-07 20:00:01;59.42;84.27;1.717;49.696;81.93;0.2978;0;normal
2026-01-07 20:00:02;59.02;87.03;1.769;49.592;85.99;0.3175;0;normal
2026-01-07 20:00:03;58.69;96.49;1.957;49.441;92.69;0.3701;0;normal
2026-01-07 20:00:04;58.77;97.83;1.989;49.31;99.27;0.396;0;normal
2026-01-07 20:00:05;58.78;97.91;1.841;49.331;101.39;0.3996;0;normal
2026-01-07 20:00:06;58.53;105.44;2.15;49.287;100.82;0.4133;0;normal
2026-01-07 20:00:07;59.55;101.38;2.111;49.223;102.95;0.4241;0;normal
2026-01-07 20:00:08;59.73;103.3;2.107;49.364;104.99;0.4107;0;normal
2026-01-07 20:00:09;59;102.46;2.07;49.184;102.86;0.4199;0;normal
2026-01-07 20:00:10;59.48;101.71;1.98;49.157;103.01;0.4198;0;normal
2026-01-07 20:00:11;58.69;99.99;1.96;49.33;98.34;0.4061;0;normal
2026-01-07 20:00:12;59.14;101.91;2.261;49.338;97.27;0.4105;0;normal
2026-01-07 20:00:13;58.77;102.72;2.068;49.241;102.63;0.4243;0;normal
2026-01-07 20:00:14;59.46;101.61;2.003;49.297;102.7;0.4202;0;normal
2026-01-07 20:00:15;58.88;98.29;2.108;49.295;95.02;0.3973;0;normal
2026-01-07 20:00:16;59.2;95.04;2.102;49.364;98.12;0.394;0;normal
2026-01-07 20:00:17;59.11;98.05;2.12;49.263;97.76;0.3957;0;normal
2026-01-07 20:00:18;58.52;102.22;1.991;49.319;103.24;0.4235;0;normal
2026-01-07 20:00:19;58.65;103.31;2.155;49.223;101.39;0.4325;0;normal
2026-01-07 20:00:20;59.09;101.9;2.209;49.211;100.35;0.4286;0;normal
2026-01-07 20:00:21;58.97;99.63;1.963;49.303;100.94;0.4116;0;normal
2026-01-07 20:00:22;58.55;97.02;1.99;49.218;95.82;0.4079;0;normal
2026-01-07 20:00:23;59.08;99.08;2.029;49.333;104.16;0.4131;0;normal
2026-01-07 20:00:24;58.67;99.72;2.125;49.361;101.13;0.4155;0;normal
2026-01-07 20:00:25;59.43;100.32;1.96;49.346;100.72;0.4058;0;normal
2026-01-07 20:00:26;59.48;100.58;2.176;49.345;100.75;0.4151;0;normal
2026-01-07 20:00:27;59.09;100.13;2.02;49.456;98.03;0.4083;0;normal
