datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-07 06:00:01;54.93;105.53;2.022;49.152;102.45;0.4156;0;normal
2026-01-07 06:00:02;55.14;100.64;2.309;49.398;100.23;0.4084;0;normal
2026-01-07 06:00:03;54.5;98.36;2.137;49.364;98.88;0.4014;0;normal
2026-01-07 06:00:04;55.18;98.32;2.031;49.425;103.52;0.4022;0;normal
2026-01-07 06:00:05;55.25;98.24;2.219;49.5;96.34;0.3864;0;normal
2026-01-07 06:00:06;55.54;96.16;2.005;49.399;94.4;0.388;0;normal
2026-01-07 06:00:07;54.37;97.64;2.007;49.344;97.55;0.3968;0;normal
2026-01-07 06:00:08;55.84;100.62;2.202;49.384;98.68;0.402;0;normal
2026-01-07 06:00:09;54.66;98.13;2.238;49.398;103.21;0.401;0;normal
2026-01-07 06:00:10;54.69;80.95;2.112;49.742;74.98;0.2693;0;normal
2026-01-07 06:00:11;55.07;67.94;1.526;49.955;53.1;0.1809;0;normal
2026-01-07 06:00:12;54.83;60.83;1.513;50.059;51.06;0.1467;0;normal
2026-01-07 06:00:13;55.01;55.29;1.322;50.271;39.41;0.1133;0;normal
2026-01-07 06:00:14;55.26;51.89;1.149;50.372;33.98;0.0861;0;normal
2026-01-07 06:00:15;55.08;49.35;1.255;50.438;35.42;0.0799;0;normal
2026-01-07 06:00:16;54.7;50.77;1.235;50.313;39.95;0.0874;0;normal
2026-01-07 06:00:17;54.57;51.28;1.303;50.333;37.04;0.0903;0;normal
2026-01-07 06:00:18;54.32;51.83;1.225;50.313;34.78;0.0815;0;normal
2026-01-07 06:00:19;54.75;46.48;1.181;50.367;34.8;0.0621;0;normal
2026-01-07 06:00:20;54;48.88;1.246;50.418;33.23;0.056;0;normal
2026-01-07 06:00:21;54.45;47.58;1.284;50.398;32.42;0.0718;0;normal
2026-01-07 06:00:22;54.14;47.67;1.416;50.389;36.2;0.0753;0;normal
2026-01-07 06:00:23;54.69;45.41;1.318;50.482;31.48;0.0642;0;normal
2026-01-07 06:00:24;54.42;47.39;1.21;50.447;35.96;0.0687;0;normal
2026-01-07 06:00:25;53.19;44.41;1.195;50.523;27.01;0.0485;0;normal
2026-01-07 06:00:26;54.02;46.38;1.189;50.359;29.73;0.0507;0;normal
2026-01-07 06:00:27;53;44.24;1.028;50.472;32.56;0.0454;0;normal
2026-01-07 06:00:28;53.82;47.06;1.196;50.354;24.63;0.0415;0;normal
2026-01-07 06:00:29;53.56;43.74;1.188;50.419;33.12;0.0422;0;normal
2026-01-07 06:00:30;52.69;45.39;1.2;50.513;31.5;0.0499;0;normal
2026-01-07 06:00:31;53.87;44.41;1.205;50.394;27.93;0.0452;0;normal
2026-01-07 06:00:32;53.35;44.77;1.116;50.436;31.56;0.0505;0;normal
2026-01-07 06:00:33;53.1;41.65;1.229;50.519;31.68;0.0528;0;normal
2026-01-07 06:00:34;53.07;47.11;1.098;50.463;31.77;0.0504;0;normal
2026-01-07 06:00:35;53.82;48.57;1.353;50.496;33.77;0.0572;0;normal
2026-01-07 06:00:36;53.15;45.12;1.26;50.521;30.15;0.0473;0;normal
2026-01-07 06:00:37;52.68;48.13;1.207;50.407;35.27;0.0712;0;normal
2026-01-07 06:00:38;53.14;48.4;1.417;50.487;36.11;0.0748;0;normal
2026-01-07 06:00:39;52.88;47.79;1.349;50.384;33.03;0.073;0;normal
2026-01-07 06:00:40;52.91;65.36;1.663;50.171;58;0.1941;0;normal
2026-01-07 06:00:41;53;75.99;1.641;49.747;68.88;0.2629;0;normal
2026-01-07 06:00:42;53;84.02;1.686;49.686;79.36;0.3097;0;normal
2026-01-07 06:00:43;52.77;91.9;1.878;49.471;86.98;0.3501;0;normal
2026-01-07 06:00:44;52.72;94;2.029;49.42;86.77;0.3751;0;normal
2026-01-07 06:00:45;53.53;100.9;1.938;49.256;101.3;0.4045;0;normal
2026-01-07 06:00:46;53.6;97.15;2.065;49.34;99.52;0.4074;0;normal
2026-01-07 06:00:47;53.1;97.41;1.995;49.304;96.85;0.3982;0;normal
2026-01-07 06:00:48;53.16;101.48;2.167;49.206;99.65;0.4317;0;normal
2026-01-07 06:00:49;53.57;98.25;2.11;49.267;103.39;0.4315;0;normal
2026-01-07 06:00:50;54.3;101.51;2.206;49.199;100.99;0.4242;0;normal
2026-01-07 06:00:51;53.76;101.59;2.328;49.143;102.38;0.4332;0;normal
2026-01-07 06:00:52;53.77;100.37;2.301;49.364;105.45;0.4203;0;normal
2026-01-07 06:00:53;53.87;104.55;2.157;49.353;106.05;0.4335;0;normal
2026-01-07 06:00:54;53.73;104.21;2.139;49.193;103.96;0.4374;0;normal
2026-01-07 06:00:55;54.24;103.87;2.1;49.3;107.14;0.4459;0;normal
2026-01-07 06:00:56;53.99;104.55;2.227;49.067;110.4;0.451;0;normal
2026-01-07 06:00:57;54.35;101.38;2.034;49.119;101.63;0.4321;0;normal
2026-01-07 06:00:58;54.16;104.05;2.117;49.235;104.3;0.4356;0;normal
2026-01-07 06:00:59;54.58;103.65;2.189;49.136;104.06;0.4405;0;normal
