datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-07 12:00:01;55.33;106.12;2.371;49.178;107.41;0.4322;0;normal
2026-01-07 12:00:02;54.89;99.83;2.347;49.206;101.03;0.4293;0;normal
2026-01-07 12:00:03;54.94;101;2.059;49.182;99.03;0.4181;0;normal
2026-01-07 12:00:04;54.78;129.92;2.55;48.686;135.02;0.5974;0;normal
2026-01-07 12:00:05;55.91;144.11;2.91;48.393;156.52;0.702;0;normal
2026-01-07 12:00:06;55.8;155.64;3.238;48.025;170.84;0.7821;0;normal
2026-01-07 12:00:07;55.76;164.42;3.229;48.044;180.68;0.8386;0;normal
2026-01-07 12:00:08;56.69;163.55;3.271;47.795;178.82;0.8448;0;normal
2026-01-07 12:00:09;55.96;167.4;3.242;47.886;188.92;0.8604;0;normal
2026-01-07 12:00:10;56.84;169.08;3.412;47.813;190.38;0.8787;0;normal
2026-01-07 12:00:11;56.86;139.24;2.803;48.397;150.71;0.6734;0;normal
2026-01-07 12:00:12;56.88;115.59;2.541;49.053;125.31;0.5239;0;normal
2026-01-07 12:00:13;57.33;107.04;2.263;49.233;105.27;0.4409;0;normal
2026-01-07 12:00:14;57.3;97.1;2.23;49.359;100.27;0.386;0;normal
2026-01-07 12:00:15;57.56;92.08;2.014;49.559;88.39;0.3494;0;normal
2026-01-07 12:00:16;57.32;75.96;1.754;49.924;71.48;0.2436;0;normal
2026-01-07 12:00:17;56.95;62.6;1.716;50.078;57.18;0.1768;0;normal
2026-01-07 12:00:18;56.97;59.45;1.448;50.185;47.8;0.1273;0;normal
2026-01-07 12:00:19;56.58;55.8;1.393;50.249;39.72;0.1154;0;normal
2026-01-07 12:00:20;56.37;50.9;1.566;50.303;43.42;0.106;0;normal
2026-01-07 12:00:21;57.1;52.86;1.185;50.356;42.95;0.0955;0;normal
2026-01-07 12:00:22;56.96;53.91;1.256;50.451;37.68;0.0862;0;normal
2026-01-07 12:00:23;56.35;50.98;1.285;50.325;39.62;0.0881;0;normal
2026-01-07 12:00:24;56.4;50.15;1.399;50.491;36.36;0.0817;0;normal
2026-01-07 12:00:25;56.62;48.05;1.329;50.364;36.66;0.0741;0;normal
2026-01-07 12:00:26;56.51;46.67;1.237;50.429;35.43;0.0631;0;normal
2026-01-07 12:00:27;56.23;48.22;1.191;50.417;34.17;0.0721;0;normal
2026-01-07 12:00:28;56.14;47.13;1.397;50.5;34.44;0.0641;0;normal
2026-01-07 12:00:29;54.79;47.64;1.377;50.306;32.89;0.0664;0;normal
2026-01-07 12:00:30;55.71;49.43;1.176;50.522;37.83;0.0613;0;normal
2026-01-07 12:00:31;55.59;50.47;1.373;50.364;36.32;0.0681;0;normal
2026-01-07 12:00:32;55.33;53.49;1.289;50.405;35.01;0.0884;0;normal
2026-01-07 12:00:33;55.15;51.89;1.469;50.262;37.47;0.0848;0;normal
2026-01-07 12:00:34;54.5;51.09;1.277;50.366;36.32;0.0656;0;normal
2026-01-07 12:00:35;54.5;46.18;1.373;50.458;34.31;0.0497;0;normal
2026-01-07 12:00:36;55.39;47.3;1.342;50.363;31.91;0.0568;0;normal
2026-01-07 12:00:37;54.89;46.65;1.266;50.436;32.1;0.0477;0;normal
2026-01-07 12:00:38;55.06;49.08;1.341;50.439;35.56;0.0624;0;normal
2026-01-07 12:00:39;54.62;49.87;1.461;50.525;32.42;0.0644;0;normal
2026-01-07 12:00:40;54.44;49.71;1.312;50.466;36.14;0.0673;0;normal
2026-01-07 12:00:41;54.74;50.87;1.221;50.379;34.7;0.0673;0;normal
2026-01-07 12:00:42;54.38;47.27;1.407;50.336;33.16;0.0577;0;normal
2026-01-07 12:00:43;53.77;48.36;1.46;50.307;39.02;0.0731;0;normal
2026-01-07 12:00:44;54.11;51.19;1.383;50.374;34.93;0.0799;0;normal
2026-01-07 12:00:45;53.71;48.96;1.334;50.303;35.91;0.0647;0;normal
2026-01-07 12:00:46;53.79;50.36;1.424;50.462;32.09;0.0576;0;normal
2026-01-07 12:00:47;54.29;48.46;1.543;50.345;37.46;0.0651;0;normal
2026-01-07 12:00:48;54;51.1;1.405;50.314;37.91;0.0787;0;normal
2026-01-07 12:00:49;53.07;47.6;1.359;50.42;33.24;0.0524;0;normal
2026-01-07 12:00:50;53.55;43.02;1.26;50.557;27.67;0.0401;0;normal
2026-01-07 12:00:51;53.56;43.65;1.266;50.427;29.63;0.0396;0;normal
2026-01-07 12:00:52;53.18;43.98;1.367;50.501;28.42;0.0509;0;normal
2026-01-07 12:00:53;52.91;45.21;1.279;50.451;26.4;0.0368;0;normal
2026-01-07 12:00:54;52.7;42.92;1.237;50.559;30.83;0.0197;0;normal
2026-01-07 12:00:55;53.14;42.31;1.109;50.415;28.02;0.0289;0;normal
2026-01-07 12:00:56;52.25;41.33;1.228;50.451;26.39;0.019;0;normal
2026-01-07 12:00:57;53.08;40.76;1.196;50.561;25.23;0.0251;0;normal
2026-01-07 12:00:58;52.95;41.55;1.115;50.461;25.61;0.0233;0;normal
2026-01-07 12:00:59;52.54;47.67;1.198;50.367;30.48;0.044;0;normal
2026-01-07 12:01:00;52.56;47.28;1.227;50.28;35.15;0.0565;0;normal
