datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-05 12:00:01;55.91;47.8;1.254;50.372;35.83;0.0739;0;normal
2026-01-05 12:00:02;55.18;51.29;1.185;50.297;34.68;0.0788;0;normal
2026-01-05 12:00:03;55.17;45.4;1.385;50.273;37.4;0.0806;0;normal
2026-01-05 12:00:04;55.5;44.77;1.243;50.387;29.73;0.0682;0;normal
2026-01-05 12:00:05;54.93;48.26;1.255;50.344;33.06;0.061;0;normal
2026-01-05 12:00:06;54.62;48.56;1.405;50.295;30.73;0.0699;0;normal
2026-01-05 12:00:07;54.8;47.87;1.366;50.31;28.64;0.0581;0;normal
2026-01-05 12:00:08;55;49.29;1.295;50.286;36.28;0.0813;0;normal
2026-01-05 12:00:09;53.9;47.62;1.226;50.279;36.29;0.0727;0;normal
2026-01-05 12:00:10;54.51;49.63;1.246;50.362;35.23;0.0723;0;normal
2026-01-05 12:00:11;54.71;43.42;1.331;50.502;28.35;0.0507;0;normal
2026-01-05 12:00:12;54.46;45.54;1.233;50.312;29.11;0.0462;0;normal
2026-01-05 12:00:13;54.56;65.17;1.719;49.953;56.19;0.1842;0;normal
2026-01-05 12:00:14;54.26;69.82;1.615;49.827;65.45;0.2188;0;normal
2026-01-05 12:00:15;54.85;83.25;1.745;49.577;79.93;0.2997;0;normal
2026-01-05 12:00:16;55.05;89.86;1.84;49.533;89.23;0.3458;0;normal
2026-01-05 12:00:17;54.83;92.21;2.09;49.332;91.82;0.3693;0;normal
2026-01-05 12:00:18;55.16;99.64;2.151;49.257;98.69;0.4122;0;normal
2026-01-05 12:00:19;55.15;98.09;2.12;49.197;97.7;0.408;0;normal
2026-01-05 12:00:20;55.12;104.22;2.164;49.309;102.04;0.4285;0;normal
2026-01-05 12:00:21;55.41;102.33;2.166;49.267;99.78;0.4259;0;normal
2026-01-05 12:00:22;54.91;104.1;2.268;49.2;102.16;0.4401;0;normal
2026-01-05 12:00:23;55.31;99.4;2.234;49.394;101.82;0.422;0;normal
2026-01-05 12:00:24;55.28;98.49;2.224;49.289;104.97;0.4177;0;normal
2026-01-05 12:00:25;55.52;102.47;2.164;49.123;101.87;0.4268;0;normal
2026-01-05 12:00:26;55.66;101.71;2.183;49.231;100.11;0.4144;0;normal
2026-01-05 12:00:27;55.25;98.33;2.071;49.327;99.13;0.4159;0;normal
2026-01-05 12:00:28;56.07;101.04;2.109;49.242;98.44;0.417;0;normal
2026-01-05 12:00:29;55.52;99.03;2.066;49.244;98.85;0.4205;0;normal
2026-01-05 12:00:30;56.37;93.96;1.994;49.412;96.77;0.3892;0;normal
