datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-07 14:00:01;55.07;50.1;1.192;50.448;37.27;0.0658;0;normal
2026-01-07 14:00:02;55.4;50.04;1.165;50.372;33.61;0.0667;0;normal
2026-01-07 14:00:03;54.48;47.47;1.267;50.386;34.61;0.0585;0;normal
2026-01-07 14:00:04;54.98;46.2;1.047;50.476;28.08;0.0517;0;normal
2026-01-07 14:00:05;55.26;49.32;1.313;50.503;28.83;0.0433;0;normal
2026-01-07 14:00:06;54.77;43.52;1.011;50.48;29.46;0.0467;0;normal
2026-01-07 14:00:07;54.47;48.68;1.271;50.441;35.16;0.0578;0;normal
2026-01-07 14:00:08;54.73;47.79;1.141;50.437;28.11;0.0565;0;normal
2026-01-07 14:00:09;54.58;47.94;1.062;50.473;30.72;0.056;0;normal
2026-01-07 14:00:10;53.7;50.03;1.334;50.413;38.74;0.0739;0;normal
2026-01-07 14:00:11;54.68;48.26;1.251;50.395;30.51;0.0511;0;normal
2026-01-07 14:00:12;53.88;48.31;1.226;50.429;35.28;0.0601;0;normal
2026-01-07 14:00:13;54.03;47.79;0.988;50.436;28.6;0.0512;0;normal
2026-01-07 14:00:14;54.23;50.22;1.397;50.384;32.35;0.0753;0;normal
2026-01-07 14:00:15;54.04;55.44;1.458;50.284;37.32;0.0808;0;normal
2026-01-07 14:00:16;53.89;48.68;1.248;50.447;37.55;0.0694;0;normal
2026-01-07 14:00:17;53.28;47.46;1.413;50.391;35.63;0.0616;0;normal
2026-01-07 14:00:18;53.16;49.75;1.194;50.344;34.56;0.0672;0;normal
2026-01-07 14:00:19;53.52;48.31;1.188;50.364;30.74;0.0629;0;normal
2026-01-07 14:00:20;52.64;47.14;1.415;50.424;36.51;0.073;0;normal
2026-01-07 14:00:21;53.27;49.11;1.308;50.433;33.23;0.0639;0;normal
2026-01-07 14:00:22;53.67;48.44;1.249;50.341;37.77;0.0698;0;normal
2026-01-07 14:00:23;52.76;49.23;1.409;50.318;35.74;0.0661;0;normal
2026-01-07 14:00:24;54.22;53.18;1.343;50.231;40.5;0.0843;0;normal
2026-01-07 14:00:25;53.23;54.89;1.305;50.313;38.2;0.0914;0;normal
2026-01-07 14:00:26;53.15;49.92;1.261;50.336;41.83;0.0758;0;normal
2026-01-07 14:00:27;53.17;48.73;1.388;50.385;37.22;0.0796;0;normal
2026-01-07 14:00:28;53.65;48.83;1.352;50.372;31.99;0.0672;0;normal
2026-01-07 14:00:29;53.91;50.85;1.385;50.374;36.82;0.0713;0;normal
2026-01-07 14:00:30;53.5;45.96;1.32;50.507;32.17;0.0404;0;normal
2026-01-07 14:00:31;52.73;44.61;1.333;50.387;37.27;0.0587;0;normal
2026-01-07 14:00:32;52.53;46.94;1.323;50.444;35.82;0.0617;0;normal
2026-01-07 14:00:33;52.15;43.35;1.092;50.463;33.46;0.0462;0;normal
2026-01-07 14:00:34;52.19;43.92;1.48;50.408;33.74;0.0392;0;normal
2026-01-07 14:00:35;52.71;45.49;1.117;50.382;32.59;0.0485;0;normal
2026-01-07 14:00:36;52;47.18;1.385;50.349;30.27;0.0551;0;normal
2026-01-07 14:00:37;52.28;47.79;1.34;50.29;37.82;0.07;0;normal
2026-01-07 14:00:38;52.88;44.16;1.216;50.364;30.63;0.0477;0;normal
2026-01-07 14:00:39;52.11;49.84;1.201;50.401;35.99;0.063;0;normal
2026-01-07 14:00:40;51.71;41.66;1.289;50.422;26.93;0.027;0;normal
2026-01-07 14:00:41;52.38;46.3;1.321;50.35;29.27;0.0392;0;normal
2026-01-07 14:00:42;51.64;41.46;1.228;50.344;26.59;0.0373;0;normal
2026-01-07 14:00:43;52.07;44.02;1.343;50.301;34.3;0.0601;0;normal
2026-01-07 14:00:44;52.86;47.2;1.248;50.406;30.67;0.0548;0;normal
2026-01-07 14:00:45;52.19;42.49;1.067;50.342;24.6;0.0297;0;normal
2026-01-07 14:00:46;52.16;44.99;1.443;50.353;29.07;0.0506;0;normal
2026-01-07 14:00:47;52;48.21;1.234;50.334;34.49;0.0536;0;normal
2026-01-07 14:00:48;52.31;40.18;1.261;50.499;26.93;0.0365;0;normal
2026-01-07 14:00:49;52.04;45.57;1.165;50.317;28.09;0.0459;0;normal
2026-01-07 14:00:50;51.63;42.8;1.301;50.424;30.79;0.0388;0;normal
2026-01-07 14:00:51;51.76;45.89;1.212;50.421;29.15;0.043;0;normal
2026-01-07 14:00:52;51.31;47.47;1.237;50.325;31.84;0.0567;0;normal
2026-01-07 14:00:53;51.96;47.67;1.184;50.469;32.84;0.051;0;normal
2026-01-07 14:00:54;50.74;44.6;1.193;50.366;29.68;0.0477;0;normal
2026-01-07 14:00:55;50.87;47.33;1.251;50.362;35.01;0.0602;0;normal
2026-01-07 14:00:56;51.1;49.23;1.339;50.334;38.39;0.0807;0;normal
2026-01-07 14:00:57;51.5;65.39;1.652;50.054;57.91;0.1865;0;normal
2026-01-07 14:00:58;51.68;78.02;1.873;49.615;74.46;0.2725;0;normal
2026-01-07 14:00:59;52.16;84.12;1.842;49.589;80.65;0.3332;0;normal
2026-01-07 14:01:00;51.78;93.43;2.011;49.426;87.55;0.35;0;normal
2026-01-07 14:01:01;51.98;93.56;1.971;49.416;90.52;0.368;0;normal
2026-01-07 14:01:02;52.73;96.97;2.229;49.273;98.48;0.4055;0;normal
2026-01-07 14:01:03;52.07;101.24;2.255;49.204;99.81;0.4153;0;normal
2026-01-07 14:01:04;52.54;102.53;2.133;49.239;102.14;0.4091;0;normal
2026-01-07 14:01:05;52.34;101.74;2.158;49.287;99.62;0.4193;0;normal
2026-01-07 14:01:06;53.21;100.86;2.091;49.405;98.94;0.4091;0;normal
2026-01-07 14:01:07;53.04;102.39;2.196;49.281;102.84;0.4149;0;normal
2026-01-07 14:01:08;53.25;102.26;2.239;49.199;104.37;0.4366;0;normal
2026-01-07 14:01:09;53.38;103.78;2.407;49.171;103.66;0.4447;0;normal
2026-01-07 14:01:10;53.54;102.25;2.195;49.152;100.79;0.4333;0;normal
2026-01-07 14:01:11;53.52;106.74;2.411;49.191;107.51;0.4445;0;normal
2026-01-07 14:01:12;53.69;98.2;2.116;49.342;100.42;0.409;0;normal
2026-01-07 14:01:13;53.95;104.48;2.364;49.154;104.41;0.4382;0;normal
2026-01-07 14:01:14;53.86;101.43;2.275;49.205;106.93;0.4206;0;normal
2026-01-07 14:01:15;53.69;102.84;2.264;49.141;105.43;0.434;0;normal
2026-01-07 14:01:16;53.64;101.08;2.261;49.212;100.62;0.4181;0;normal
2026-01-07 14:01:17;53.27;101.72;2.237;49.179;105;0.4264;0;normal
2026-01-07 14:01:18;54.14;100.65;2.375;49.218;102.56;0.4313;0;normal
2026-01-07 14:01:19;53.79;103.4;2.246;49.168;104.49;0.4172;0;normal
2026-01-07 14:01:20;54.28;95.66;2.177;49.328;99.89;0.4121;0;normal
2026-01-07 14:01:21;53.37;100.8;2.228;49.205;102.04;0.4073;0;normal
2026-01-07 14:01:22;54.05;100.44;2.252;49.218;101.98;0.4096;0;normal
2026-01-07 14:01:23;54.16;100.46;2.258;49.24;103.24;0.4159;0;normal
2026-01-07 14:01:24;54.82;99.38;2.431;49.318;99.96;0.4064;0;normal
2026-01-07 14:01:25;54.24;97.97;2.181;49.26;102.33;0.4126;0;normal
2026-01-07 14:01:26;54.65;102.11;2.318;49.181;106.29;0.4223;0;normal
2026-01-07 14:01:27;55.24;97.7;2.167;49.213;100.57;0.4142;0;normal
2026-01-07 14:01:28;54.63;121.12;2.609;48.869;128.03;0.5635;0;normal
2026-01-07 14:01:29;55.44;142.6;2.928;48.17;153.68;0.6948;0;normal
2026-01-07 14:01:30;55.58;156.7;3.191;47.994;169.07;0.7763;0;normal
2026-01-07 14:01:31;55.62;162.74;3.147;47.989;177.14;0.8182;0;normal
2026-01-07 14:01:32;56.11;169.94;3.196;47.774;187.21;0.8651;0;normal
2026-01-07 14:01:33;55.62;170.78;3.273;47.748;190.58;0.8815;0;normal
2026-01-07 14:01:34;55.8;174.46;3.297;47.722;198.25;0.9077;0;normal
2026-01-07 14:01:35;56.15;175.5;3.451;47.588;199.52;0.9312;0;normal
2026-01-07 14:01:36;56.5;179.77;3.726;47.575;200.32;0.9379;0;normal
2026-01-07 14:01:37;56.9;182.28;3.555;47.505;207.99;0.9607;0;normal
2026-01-07 14:01:38;57.42;176.87;3.573;47.605;201.83;0.929;0;normal
2026-01-07 14:01:39;57.48;179.93;3.619;47.672;201.89;0.9287;0;normal
2026-01-07 14:01:40;57.88;143.44;3.086;48.32;157.28;0.7092;0;normal
2026-01-07 14:01:41;58.14;122.07;2.608;48.838;130.18;0.5592;0;normal
2026-01-07 14:01:42;58.43;109.77;2.353;49.125;111.05;0.4647;0;normal
2026-01-07 14:01:43;58.26;101.95;2.156;49.326;102.6;0.4069;0;normal
2026-01-07 14:01:44;58.29;90.59;2.019;49.504;90.1;0.3494;0;normal
2026-01-07 14:01:45;57.96;88.78;1.907;49.49;84.7;0.3348;0;normal
2026-01-07 14:01:46;58.7;86.69;1.946;49.626;74.13;0.3131;0;normal
2026-01-07 14:01:47;58.36;81.59;1.812;49.656;82.91;0.2925;0;normal
2026-01-07 14:01:48;57.61;81.79;1.867;49.795;71.94;0.2684;0;normal
2026-01-07 14:01:49;58.7;82.6;1.767;49.576;73.24;0.293;0;normal
2026-01-07 14:01:50;58.63;92.56;2.195;49.499;91.26;0.351;0;normal
2026-01-07 14:01:51;58.01;93.62;2.127;49.379;95.19;0.3777;0;normal
2026-01-07 14:01:52;58.04;95.99;2.087;49.392;92.53;0.3796;0;normal
2026-01-07 14:01:53;57.94;96.5;1.944;49.283;94.79;0.3818;0;normal
2026-01-07 14:01:54;58.07;100.92;2.371;49.179;103.41;0.4233;0;normal
2026-01-07 14:01:55;57.83;97.54;2.089;49.229;95.2;0.4046;0;normal
2026-01-07 14:01:56;58.29;97.69;2.122;49.426;98.31;0.3963;0;normal
2026-01-07 14:01:57;58.26;100.42;2.066;49.139;101.57;0.4146;0;normal
2026-01-07 14:01:58;58.36;102.48;2.234;49.145;102.91;0.4206;0;normal
2026-01-07 14:01:59;58.36;100.62;2.137;49.232;100.95;0.4136;0;normal
2026-01-07 14:02:00;58.18;104.2;2.131;49.27;105.52;0.4335;0;normal
2026-01-07 14:02:01;58.49;105.47;2.242;49.181;109.29;0.4425;0;normal
2026-01-07 14:02:02;57.94;103.18;2.273;49.259;107.63;0.4412;0;normal
2026-01-07 14:02:03;57.77;102.69;2.217;49.245;103.14;0.4336;0;normal
2026-01-07 14:02:04;58.29;105.42;2.183;49.156;107.38;0.4405;0;normal
2026-01-07 14:02:05;57.89;108.46;2.181;49.184;111.59;0.4525;0;normal
2026-01-07 14:02:06;58.29;105.98;2.135;49.306;108.21;0.4335;0;normal
2026-01-07 14:02:07;58.2;89.09;1.861;49.532;84.29;0.3254;0;normal
2026-01-07 14:02:08;58.03;70.97;1.749;49.946;67.73;0.225;0;normal
2026-01-07 14:02:09;58.2;65.02;1.528;50.002;59.03;0.1814;0;normal
2026-01-07 14:02:10;57.58;57.88;1.489;50.125;52.59;0.1394;0;normal
2026-01-07 14:02:11;58.2;56.47;1.358;50.136;44.05;0.1158;0;normal
2026-01-07 14:02:12;57.49;55.97;1.346;50.226;42.95;0.1099;0;normal
2026-01-07 14:02:13;57.65;53.32;1.238;50.313;39.35;0.0876;0;normal
2026-01-07 14:02:14;57.87;50.67;1.43;50.258;36.28;0.0775;0;normal
2026-01-07 14:02:15;57.26;52.35;1.27;50.325;36.61;0.0865;0;normal
2026-01-07 14:02:16;56.87;52.13;1.137;50.373;38.66;0.0774;0;normal
2026-01-07 14:02:17;56.6;42.64;1.366;50.297;31.19;0.0461;0;normal
2026-01-07 14:02:18;56.86;42.51;0.925;50.467;24.59;0.0329;0;normal
2026-01-07 14:02:19;56.37;43.64;1.15;50.552;26.03;0.0293;0;normal
2026-01-07 14:02:20;55.83;46.16;1.267;50.402;37.03;0.0524;0;normal
2026-01-07 14:02:21;56.06;47.45;1.107;50.512;34.01;0.0598;0;normal
2026-01-07 14:02:22;56.32;44.47;1.5;50.355;34.4;0.0545;0;normal
2026-01-07 14:02:23;56.18;46.02;1.334;50.324;35.15;0.0686;0;normal
2026-01-07 14:02:24;56.63;49.44;1.313;50.383;32.07;0.0572;0;normal
2026-01-07 14:02:25;56.26;46.42;1.245;50.421;28.41;0.0562;0;normal
2026-01-07 14:02:26;55.42;51.38;1.231;50.27;38.32;0.0818;0;normal
2026-01-07 14:02:27;56.22;54.45;1.434;50.173;39.42;0.096;0;normal
2026-01-07 14:02:28;55.45;54.05;1.353;50.255;38.11;0.0943;0;normal
2026-01-07 14:02:29;55.95;72.04;1.677;49.904;65.51;0.2332;0;normal
2026-01-07 14:02:30;55.77;83.71;2.082;49.603;75.92;0.2972;0;normal
2026-01-07 14:02:31;55.49;86.9;1.994;49.664;81.42;0.3268;0;normal
2026-01-07 14:02:32;55.7;90.38;2.057;49.392;87.49;0.3576;0;normal
2026-01-07 14:02:33;55.76;95.62;2.037;49.378;95.2;0.3848;0;normal
2026-01-07 14:02:34;55.56;97.36;2.129;49.364;97.64;0.3932;0;normal
2026-01-07 14:02:35;55.55;98.03;2.18;49.362;96.23;0.3957;0;normal
2026-01-07 14:02:36;56.21;101;2.112;49.3;96.33;0.4051;0;normal
2026-01-07 14:02:37;55.75;98.72;2.311;49.32;96.78;0.4124;0;normal
