datetime;motor_temp;hydraulic_pressure;mast_vibration;battery_voltage;motor_current;duty;anomaly;fault_type
2026-01-08 02:00:01;53.92;103.86;2.243;49.279;103.06;0.4397;0;normal
2026-01-08 02:00:02;54.26;107.71;2.2;49.267;104.06;0.4311;0;normal
2026-01-08 02:00:03;53.46;105.41;2.111;49.266;102.92;0.433;0;normal
2026-01-08 02:00:04;53.6;97.37;2.115;49.313;100.44;0.4035;0;normal
2026-01-08 02:00:05;53.54;100.51;2.133;49.414;101.48;0.3988;0;normal
2026-01-08 02:00:06;54.02;98.18;2.101;49.337;100.62;0.4076;0;normal
2026-01-08 02:00:07;54.08;101.22;2.253;49.322;100.34;0.416;0;normal
2026-01-08 02:00:08;54.19;98.55;2.155;49.43;95.96;0.3909;0;normal
2026-01-08 02:00:09;54.22;96.04;2.138;49.27;96.52;0.3912;0;normal
2026-01-08 02:00:10;54.51;101.88;2.172;49.185;101.15;0.4259;0;normal
2026-01-08 02:00:11;54.88;98.81;2.359;49.276;101.4;0.4056;0;normal
2026-01-08 02:00:12;54.51;98.92;2.078;49.343;101.29;0.4017;0;normal
2026-01-08 02:00:13;54.57;106.66;2.26;49.202;101.93;0.4306;0;normal
2026-01-08 02:00:14;54.67;99.93;2.004;49.242;100.08;0.4238;0;normal
2026-01-08 02:00:15;54.86;103.38;2.339;49.229;103.14;0.4219;0;normal
2026-01-08 02:00:16;55.27;128.66;2.549;48.739;140.49;0.6088;0;normal
2026-01-08 02:00:17;54.91;145;2.903;48.192;157.48;0.73;0;normal
2026-01-08 02:00:18;55.66;158.7;3.016;48.125;171.81;0.7936;0;normal
2026-01-08 02:00:19;55.74;160.63;3.288;47.858;181.51;0.8441;0;normal
2026-01-08 02:00:20;56.28;170.49;3.259;47.938;193.47;0.8694;0;normal
2026-01-08 02:00:21;56.12;168.11;3.295;47.771;191.17;0.8827;0;normal
2026-01-08 02:00:22;56.71;168.37;3.13;47.803;191.61;0.8865;0;normal
2026-01-08 02:00:23;56.47;169.82;3.336;47.617;189.52;0.8833;0;normal
2026-01-08 02:00:24;56.77;170.62;3.477;47.789;188.12;0.8974;0;normal
2026-01-08 02:00:25;57.9;172.41;3.382;47.718;190.98;0.8934;0;normal
2026-01-08 02:00:26;57.66;173.78;3.455;47.793;192.3;0.8947;0;normal
2026-01-08 02:00:27;57.9;174.22;3.249;47.769;198.82;0.9036;0;normal
2026-01-08 02:00:28;58.42;175.61;3.527;47.664;192.08;0.9108;0;normal
2026-01-08 02:00:29;58.02;174.76;3.416;47.732;187.85;0.9135;0;normal
2026-01-08 02:00:30;58.85;169.51;3.314;47.749;186.88;0.8833;0;normal
2026-01-08 02:00:31;58.54;141.91;2.93;48.353;149.98;0.6819;0;normal
2026-01-08 02:00:32;58.74;114.06;2.416;48.981;117.73;0.513;0;normal
2026-01-08 02:00:33;59.41;102.22;2.103;49.381;101.72;0.4175;0;normal
2026-01-08 02:00:34;59.16;95.66;2.119;49.39;93.89;0.3797;0;normal
2026-01-08 02:00:35;59.01;86.11;1.791;49.584;81.52;0.3361;0;normal
2026-01-08 02:00:36;59.46;86.21;1.964;49.663;82.41;0.3205;0;normal
2026-01-08 02:00:37;58.7;83.29;1.948;49.712;75.13;0.2905;0;normal
2026-01-08 02:00:38;58.39;78.28;1.724;49.742;71.28;0.264;0;normal
2026-01-08 02:00:39;58.12;75.59;1.934;49.83;72.89;0.246;0;normal
2026-01-08 02:00:40;57.78;81.69;1.856;49.722;73.09;0.2707;0;normal
2026-01-08 02:00:41;58.32;84.95;2.068;49.61;79.33;0.3142;0;normal
2026-01-08 02:00:42;57.71;91.68;1.957;49.529;88.06;0.3506;0;normal
2026-01-08 02:00:43;59.46;92.9;2.104;49.307;89.64;0.3565;0;normal
2026-01-08 02:00:44;58.56;95.87;2.151;49.43;94.57;0.3811;0;normal
2026-01-08 02:00:45;58.97;99.79;2.203;49.387;98.79;0.4036;0;normal
2026-01-08 02:00:46;58.27;102.86;2.082;49.264;95.94;0.3974;0;normal
2026-01-08 02:00:47;58.27;98.34;2.114;49.395;95.44;0.3917;0;normal
2026-01-08 02:00:48;58.17;101.73;2.264;49.317;100.74;0.417;0;normal
2026-01-08 02:00:49;58.48;101.46;2.055;49.31;98.16;0.4138;0;normal
2026-01-08 02:00:50;58.91;98.28;2.242;49.424;97.48;0.4055;0;normal
2026-01-08 02:00:51;58.53;98.31;2.166;49.247;96.43;0.3938;0;normal
2026-01-08 02:00:52;58.51;96.14;2.119;49.26;97.28;0.3914;0;normal
2026-01-08 02:00:53;58.29;102.76;2.158;49.281;98.54;0.4072;0;normal
2026-01-08 02:00:54;58.26;102.51;2.084;49.236;105.06;0.4129;0;normal
2026-01-08 02:00:55;58.26;98.37;2.151;49.273;98.02;0.414;0;normal
2026-01-08 02:00:56;58.46;99.36;2.347;49.288;104.46;0.4113;0;normal
2026-01-08 02:00:57;58.11;100.95;2.381;49.272;98.53;0.4194;0;normal
2026-01-08 02:00:58;57.89;100.63;2.217;49.291;102.01;0.4174;0;normal
2026-01-08 02:00:59;57.83;96.49;2.079;49.276;93.42;0.4054;0;normal
2026-01-08 02:01:00;58.03;98.82;2.104;49.262;98.33;0.4072;0;normal
2026-01-08 02:01:01;58.49;97.65;1.977;49.357;94.42;0.4031;0;normal
2026-01-08 02:01:02;58.81;103.53;2.242;49.196;104.43;0.4286;0;normal
2026-01-08 02:01:03;58.25;99.02;2.101;49.264;100.67;0.4261;0;normal
2026-01-08 02:01:04;59.21;99.81;2.196;49.218;103.14;0.4193;0;normal
2026-01-08 02:01:05;58.58;100.13;2.299;49.26;98.22;0.4213;0;normal
2026-01-08 02:01:06;59.37;99.65;2.227;49.247;100.21;0.4122;0;normal
